fixture,category,node_count,group,tool,format,raster_density,primary,eligible,expected_measured,measured_attempts,successes,failures,missing_measurements,median_ms,ci95_low_ms,ci95_high_ms,min_ms,q25_ms,q75_ms,p95_ms,max_ms,measured_output_hash_count,output_stable,output
basic_002,basic,2,basic-2-png-primary,d2-dagre,png,2.0,True,True,20,20,20,0,0,20.58975,20.214292,20.8235205,19.385333,20.203417,21.006385,22.0734191,22.667209,1,True,renders/d2-dagre/basic_002.png
basic_002,basic,2,basic-2-svg,d2-dagre,svg,,True,True,20,20,20,0,0,16.874646,16.638771499999997,17.321229000000002,16.203458,16.57223975,17.41450025,20.76223575000001,29.895417,1,True,renders/d2-dagre/basic_002.svg
basic_002,basic,2,basic-2-png-primary,mermaid-dagre,png,2.0,True,True,20,20,20,0,0,400.0565,391.575479,405.93266426249994,384.264875,390.01050025,408.50725,425.61977915,429.719583,1,True,renders/mermaid-dagre/basic_002.png
basic_002,basic,2,basic-2-svg,mermaid-dagre,svg,,True,True,20,20,20,0,0,357.39687549999996,348.2821255,368.4816455,338.577083,346.98470875,371.37093725,388.2770524,406.69775,1,True,renders/mermaid-dagre/basic_002.svg
basic_002,basic,2,basic-2-png-primary,graphviz-dot,png,2.0,True,True,20,20,20,0,0,68.09075,66.3015,75.450625,63.314667,66.191552,77.804021,84.26203395,84.465333,1,True,renders/graphviz-dot/basic_002.png
basic_002,basic,2,basic-2-svg,graphviz-dot,svg,,True,True,20,20,20,0,0,64.2356875,62.9594375,65.669937,61.503584,62.92689575,65.74274975,79.69902055000001,80.752334,1,True,renders/graphviz-dot/basic_002.svg
basic_002,basic,2,basic-2-png-primary,plantuml-dot,png,2.0,True,True,20,20,20,0,0,886.3182704999999,868.4810415,899.9287079999999,843.116792,865.388729,905.4345619999999,953.64810865,959.515625,1,True,renders/plantuml-dot/basic_002.png
basic_002,basic,2,basic-2-svg,plantuml-dot,svg,,True,True,20,20,20,0,0,854.634312,839.8191875,873.381167,828.862084,836.7573955,878.754271,1101.8712211500003,1338.220375,1,True,renders/plantuml-dot/basic_002.svg
basic_010,basic,10,basic-10-png-primary,d2-dagre,png,2.0,True,True,20,20,20,0,0,41.346791499999995,40.605729,44.454395500000004,39.541292,40.5770525,45.371468750000005,61.953278850000004,62.31325,1,True,renders/d2-dagre/basic_010.png
basic_010,basic,10,basic-10-svg,d2-dagre,svg,,True,True,20,20,20,0,0,17.959188,17.2770625,18.232,16.578333,17.083780750000003,18.3708645,19.466262500000003,22.841375,1,True,renders/d2-dagre/basic_010.svg
basic_010,basic,10,basic-10-png-primary,mermaid-dagre,png,2.0,True,True,20,20,20,0,0,430.9405005,421.71697900000004,439.517791,413.428333,420.67831225,440.94695775,459.60591455,478.150666,1,True,renders/mermaid-dagre/basic_010.png
basic_010,basic,10,basic-10-svg,mermaid-dagre,svg,,True,True,20,20,20,0,0,368.47916699999996,359.4453125,376.62275050000005,350.555708,358.95663525,377.5046045,386.74502295,388.372334,1,True,renders/mermaid-dagre/basic_010.svg
basic_010,basic,10,basic-10-png-primary,graphviz-dot,png,2.0,True,True,20,20,20,0,0,86.297667,85.22675,89.40509667499997,81.67125,84.75463524999999,90.1225525,100.3136024,100.383625,1,True,renders/graphviz-dot/basic_010.png
basic_010,basic,10,basic-10-svg,graphviz-dot,svg,,True,True,20,20,20,0,0,65.237083,63.102496675,67.403792,60.629333,62.944562000000005,67.5820835,79.4115396,80.751792,1,True,renders/graphviz-dot/basic_010.svg
basic_010,basic,10,basic-10-png-primary,plantuml-dot,png,2.0,True,True,20,20,20,0,0,939.6805205000001,933.654208,952.0734165,911.22325,933.25767675,957.792052,1139.3820461500002,1246.019625,1,True,renders/plantuml-dot/basic_010.png
basic_010,basic,10,basic-10-svg,plantuml-dot,svg,,True,True,20,20,20,0,0,860.2645205,837.84975,918.6405,820.512625,837.3503225,954.59218725,1125.9230872000003,1529.423792,1,True,renders/plantuml-dot/basic_010.svg
basic_100,basic,100,basic-100-png-primary,d2-dagre,png,2.0,True,True,20,20,20,0,0,459.428229,452.113271,467.709479,444.084959,450.973323,469.92385425,480.40198955,516.090916,1,True,renders/d2-dagre/basic_100.png
basic_100,basic,100,basic-100-svg,d2-dagre,svg,,True,True,20,20,20,0,0,26.228812499999997,25.8146045,27.521791999999998,24.917666,25.766396,30.56521925,44.5340559,44.718791,1,True,renders/d2-dagre/basic_100.svg
basic_100,basic,100,basic-100-png-primary,mermaid-dagre,png,2.0,True,True,20,20,20,0,0,741.7396875,736.7837915,747.6768125,713.839792,735.21733325,751.51084375,765.8491431000001,768.522958,1,True,renders/mermaid-dagre/basic_100.png
basic_100,basic,100,basic-100-svg,mermaid-dagre,svg,,True,True,20,20,20,0,0,498.6066455,492.4499165,502.669062,479.566458,490.16313525,503.15647875,533.2897018,553.636209,1,True,renders/mermaid-dagre/basic_100.svg
basic_100,basic,100,basic-100-png-primary,graphviz-dot,png,2.0,True,True,20,20,20,0,0,314.963562,309.7915625,316.514208,305.282625,308.24797924999996,317.6760935,328.6278333,351.944791,1,True,renders/graphviz-dot/basic_100.png
basic_100,basic,100,basic-100-svg,graphviz-dot,svg,,True,True,20,20,20,0,0,68.736021,66.67447899999999,70.3844165,63.587583,66.333073,70.783083,83.31142500000003,116.082625,1,True,renders/graphviz-dot/basic_100.svg
basic_100,basic,100,basic-100-png-primary,plantuml-dot,png,2.0,True,True,20,20,20,0,0,1314.4904165,1291.668021,1352.716583,1255.518959,1289.8115315,1354.73568725,1386.2939038499999,1447.686625,1,True,renders/plantuml-dot/basic_100.png
basic_100,basic,100,basic-100-svg,plantuml-dot,svg,,True,True,20,20,20,0,0,910.7471665,900.7630409999999,922.664917,881.608625,898.8781245,925.22252075,978.12413125,1023.216,1,True,renders/plantuml-dot/basic_100.svg
fulcro_rad,real-world,19,png-primary,d2-dagre,png,2.0,True,True,20,20,20,0,0,141.267646,139.980792,146.403896,137.193167,139.56189575,147.8700725,204.19989760000007,277.132625,1,True,renders/d2-dagre/fulcro_rad.png
fulcro_rad,real-world,19,svg,d2-dagre,svg,,True,True,20,20,20,0,0,27.767146,26.819271,32.0383545,25.858875,26.6617505,37.068323,49.56994760000004,105.223125,1,True,renders/d2-dagre/fulcro_rad.svg
fulcro_rad,real-world,19,png-primary,mermaid-dagre,png,2.0,True,True,20,20,20,0,0,532.184396,524.916708,539.903146,510.058292,523.92116675,540.67265625,556.4353202000001,588.688375,1,True,renders/mermaid-dagre/fulcro_rad.png
fulcro_rad,real-world,19,svg,mermaid-dagre,svg,,True,True,20,20,20,0,0,398.5671255,393.517896,401.8881665,383.225333,391.2980415,403.14648950000003,417.0407476,419.00325,1,True,renders/mermaid-dagre/fulcro_rad.svg
fulcro_rad,real-world,19,png-primary,graphviz-dot,png,2.0,True,True,20,20,20,0,0,209.04362500000002,205.586604,213.75047899999998,199.771416,204.64121899999998,214.05701,264.6791274000001,329.38525,1,True,renders/graphviz-dot/fulcro_rad.png
