fixture,category,node_count,group,tool,format,raster_density,primary,eligible,expected_measured,measured_attempts,successes,failures,missing_measurements,median_ms,ci95_low_ms,ci95_high_ms,min_ms,q25_ms,q75_ms,p95_ms,max_ms,measured_output_hash_count,output_stable,output
basic_002,basic,2,basic-2-png-primary,d2-dagre,png,2.0,True,True,20,20,20,0,0,20.173625,19.780729,23.0234995,18.878583,19.759708000000003,24.4703435,36.464758350000004,37.139417,1,True,renders/d2-dagre/basic_002.png
basic_002,basic,2,basic-2-svg,d2-dagre,svg,,True,True,20,20,20,0,0,17.829645499999998,17.302416,18.726125000000003,16.667709,17.24954125,19.23532275,29.400173550000005,33.282625,1,True,renders/d2-dagre/basic_002.svg
basic_002,basic,2,basic-2-png-primary,d2-tala,png,2.0,True,True,20,20,20,0,0,24.814958,23.658437499999998,35.825291500000006,22.743208,23.50680175,37.321864250000004,39.816825,39.830125,1,True,renders/d2-tala/basic_002.png
basic_002,basic,2,basic-2-svg,d2-tala,svg,,True,True,20,20,20,0,0,21.219562500000002,20.868375,22.377146,20.460416,20.82033325,23.269333250000003,35.284369049999995,35.848708,1,True,renders/d2-tala/basic_002.svg
basic_002,basic,2,basic-2-png-primary,mermaid-dagre,png,2.0,True,True,20,20,20,0,0,398.06343749999996,390.163521,403.62064599999997,384.650458,389.26639575,406.75134425,433.3934583,433.554166,1,True,renders/mermaid-dagre/basic_002.png
basic_002,basic,2,basic-2-svg,mermaid-dagre,svg,,True,True,20,20,20,0,0,355.8965205,351.34872016250006,365.77856199999997,342.66875,350.31070850000003,366.34983325,378.98061455,379.711916,1,True,renders/mermaid-dagre/basic_002.svg
basic_002,basic,2,basic-2-png-primary,graphviz-dot,png,2.0,True,True,20,20,20,0,0,66.7582085,65.6607085,68.77362450000001,64.24775,65.45288575000001,70.807916,83.75979165000001,103.254583,1,True,renders/graphviz-dot/basic_002.png
basic_002,basic,2,basic-2-svg,graphviz-dot,svg,,True,True,20,20,20,0,0,66.09143750000001,63.935396,68.254125,61.375875,63.56488525,69.64322925,79.73503720000001,85.683542,1,True,renders/graphviz-dot/basic_002.svg
basic_002,basic,2,basic-2-png-primary,plantuml-dot,png,2.0,True,True,20,20,20,0,0,936.1881880000001,922.5101460000001,943.501896,862.792542,914.9629062500001,945.59364575,950.4011021,971.716292,1,True,renders/plantuml-dot/basic_002.png
basic_002,basic,2,basic-2-svg,plantuml-dot,svg,,True,True,20,20,20,0,0,891.4861045,871.708041,903.2715625000001,823.645125,869.8609165,903.9996872500001,1058.6867306000001,1137.148458,1,True,renders/plantuml-dot/basic_002.svg
